epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2725,3.13063,4.12611,4.53335,0.0023,0.62,0.00191,0.00057,3.03513,4.20172,4.15814,0.00024,0.00024,0.00024
2,118.38,2.95462,3.52119,4.07668,0.00237,0.625,0.00298,0.00078,3.03644,4.19148,4.16291,0.0004901,0.0004901,0.0004901
3,175.795,2.87164,3.08062,3.84548,0.00232,0.625,0.00305,0.00084,3.02478,4.11789,4.17876,0.000729904,0.000729904,0.000729904
4,233.276,2.70342,2.81464,3.56718,0.00229,0.625,0.00272,0.00076,3.04159,3.96369,4.23335,0.000959412,0.000959412,0.000959412
5,293.551,2.64408,2.63026,3.47772,0.00235,0.635,0.00212,0.00063,2.9888,3.89623,4.22218,0.00117862,0.00117862,0.00117862
6,352.574,2.44304,2.22263,3.23566,0.00179,0.49,0.00134,0.00045,2.95382,4.02478,4.19631,0.00138754,0.00138754,0.00138754
7,410.134,2.50318,2.1869,3.21776,0.00223,0.61,0.0018,0.00055,2.95775,3.97104,4.15553,0.00158616,0.00158616,0.00158616
8,468.246,2.44594,2.13537,3.07638,0.15122,0.11,0.04542,0.0142,2.47589,3.57379,3.56673,0.0017228,0.0017228,0.0017228
9,527.698,2.33978,1.94339,2.95481,0.53347,0.59462,0.59906,0.18894,2.09186,2.52439,2.91053,0.0016832,0.0016832,0.0016832
10,586.028,2.26009,1.82944,2.96557,0.72457,0.745,0.83158,0.38281,1.7892,2.04719,2.70464,0.0016436,0.0016436,0.0016436
11,644.652,2.10293,1.71081,2.83051,0.54109,0.06485,0.37233,0.06669,2.74002,2.99001,3.42132,0.001604,0.001604,0.001604
12,702.099,2.02915,1.57847,2.68879,1,0.00991,0.01969,0.00714,2.05148,3.79289,2.91181,0.0015644,0.0015644,0.0015644
13,759.74,2.01663,1.57969,2.74067,0.88661,0.9,0.93291,0.35729,2.18301,1.97024,2.9548,0.0015248,0.0015248,0.0015248
14,817.171,2.03401,1.55057,2.69046,0.92263,0.954,0.97749,0.4903,1.76818,1.45042,2.51399,0.0014852,0.0014852,0.0014852
15,874.949,1.9452,1.5183,2.57515,0.65901,0.975,0.84765,0.41862,1.71469,5.05444,2.58371,0.0014456,0.0014456,0.0014456
16,932.327,1.83597,1.42895,2.48972,0.61074,0.945,0.76773,0.39334,1.75492,3.72455,2.61903,0.001406,0.001406,0.001406
17,989.845,1.86455,1.38449,2.49232,0.92894,0.98048,0.98593,0.56993,1.44003,1.65637,2.31677,0.0013664,0.0013664,0.0013664
18,1047.4,1.6686,1.30329,2.33782,0.95899,0.93548,0.98495,0.61938,1.29935,1.20226,2.18941,0.0013268,0.0013268,0.0013268
19,1105.05,1.68393,1.27242,2.33008,0.95316,0.97,0.98788,0.60686,1.30844,1.81762,2.20014,0.0012872,0.0012872,0.0012872
20,1162.83,1.55726,1.18283,2.19894,0.91147,0.955,0.97943,0.5921,1.39919,1.69574,2.28878,0.0012476,0.0012476,0.0012476
21,1220.57,1.55098,1.13246,2.18653,0.92562,0.955,0.96483,0.43786,1.773,1.61854,2.34394,0.001208,0.001208,0.001208
22,1278.02,1.6105,1.18542,2.20354,0.96448,0.975,0.98837,0.56342,1.48303,1.01709,2.29728,0.0011684,0.0011684,0.0011684
23,1335.93,1.54185,1.10972,2.17254,0.94863,0.985,0.98698,0.61335,1.23456,1.11055,2.09962,0.0011288,0.0011288,0.0011288
24,1393.85,1.58584,1.1856,2.18372,0.90738,0.93075,0.97469,0.64153,1.16421,1.1855,2.02196,0.0010892,0.0010892,0.0010892
25,1451.21,1.54706,1.14586,2.1844,0.95558,0.96805,0.99063,0.60024,1.37472,1.01817,2.25955,0.0010496,0.0010496,0.0010496
26,1508.4,1.49704,1.07923,2.1103,0.92079,0.965,0.96747,0.50142,1.58274,1.0958,2.31189,0.00101,0.00101,0.00101
27,1565.52,1.46204,1.05069,2.09894,0.99254,0.995,0.9946,0.59065,1.42954,1.00512,2.19442,0.0009704,0.0009704,0.0009704
28,1622.73,1.47261,1.08113,2.07638,0.98354,0.97,0.99248,0.64501,1.22507,1.11712,1.99065,0.0009308,0.0009308,0.0009308
29,1680.43,1.36665,1.02063,2.01872,0.97515,0.98106,0.99303,0.65671,1.23242,1.08528,2.03605,0.0008912,0.0008912,0.0008912
30,1737.89,1.36457,0.99647,1.95722,1,0.99817,0.995,0.68931,1.08967,1.03319,1.94683,0.0008516,0.0008516,0.0008516
31,1795.65,1.44514,1.05064,2.06097,0.98186,0.985,0.99465,0.65707,1.22054,0.97044,2.06977,0.000812,0.000812,0.000812
32,1852.76,1.39902,1.00039,2.02101,0.95919,0.99,0.99297,0.68248,1.1184,0.95936,1.92266,0.0007724,0.0007724,0.0007724
33,1910.51,1.36156,0.97722,2.01076,0.97516,0.98128,0.99236,0.68416,1.09806,0.98521,1.90515,0.0007328,0.0007328,0.0007328
34,1968.04,1.419,1.00064,1.9747,0.98987,0.97704,0.99377,0.67928,1.12918,1.03455,1.89413,0.0006932,0.0006932,0.0006932
